Code,CustomerCode,
BOCMFAST,BOEING,"insert into dbo.Projects([Code], [CustomerCode]) values('BOCMFAST', 'BOEING')"
BOCMICAS,BOEING,"insert into dbo.Projects([Code], [CustomerCode]) values('BOCMICAS', 'BOEING')"
BOCMSEZ,BOEING,"insert into dbo.Projects([Code], [CustomerCode]) values('BOCMSEZ', 'BOEING')"
BODPSENG,BOEING,"insert into dbo.Projects([Code], [CustomerCode]) values('BODPSENG', 'BOEING')"
BODSE,BOEING,"insert into dbo.Projects([Code], [CustomerCode]) values('BODSE', 'BOEING')"
BOECECPE,BOEING,"insert into dbo.Projects([Code], [CustomerCode]) values('BOECECPE', 'BOEING')"
BOEMMMST,BOEING,"insert into dbo.Projects([Code], [CustomerCode]) values('BOEMMMST', 'BOEING')"
BOEMMMSZ,BOEING,"insert into dbo.Projects([Code], [CustomerCode]) values('BOEMMMSZ', 'BOEING')"
BOKBE6,BOEING,"insert into dbo.Projects([Code], [CustomerCode]) values('BOKBE6', 'BOEING')"
BOKBE777,BOEING,"insert into dbo.Projects([Code], [CustomerCode]) values('BOKBE777', 'BOEING')"
BOKBEBUF,BOEING,"insert into dbo.Projects([Code], [CustomerCode]) values('BOKBEBUF', 'BOEING')"
BOKBEOH,BOEING,"insert into dbo.Projects([Code], [CustomerCode]) values('BOKBEOH', 'BOEING')"
BOKBESEZ,BOEING,"insert into dbo.Projects([Code], [CustomerCode]) values('BOKBESEZ', 'BOEING')"
BOKBIRC,BOEING,"insert into dbo.Projects([Code], [CustomerCode]) values('BOKBIRC', 'BOEING')"
BOPHTML,BOEING,"insert into dbo.Projects([Code], [CustomerCode]) values('BOPHTML', 'BOEING')"
BPI3T0MS,BPISTE,"insert into dbo.Projects([Code], [CustomerCode]) values('BPI3T0MS', 'BPISTE')"
BPNSD529,INFOSYS,"insert into dbo.Projects([Code], [CustomerCode]) values('BPNSD529', 'INFOSYS')"
BPU1110E,BPEPE,"insert into dbo.Projects([Code], [CustomerCode]) values('BPU1110E', 'BPEPE')"
BPU1110N,BPEPE,"insert into dbo.Projects([Code], [CustomerCode]) values('BPU1110N', 'BPEPE')"
BPU2OAN0,BPEPE,"insert into dbo.Projects([Code], [CustomerCode]) values('BPU2OAN0', 'BPEPE')"
BPU3OAM0,BPEPE,"insert into dbo.Projects([Code], [CustomerCode]) values('BPU3OAM0', 'BPEPE')"
BPU3OAME,BPEPE,"insert into dbo.Projects([Code], [CustomerCode]) values('BPU3OAME', 'BPEPE')"
BRCHPSTP,REACHAU,"insert into dbo.Projects([Code], [CustomerCode]) values('BRCHPSTP', 'REACHAU')"
BSCBLRBF,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCBLRBF', 'BOSTONSC')"
BSCCHDBF,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCCHDBF', 'BOSTONSC')"
BSCCMRSP,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCCMRSP', 'BOSTONSC')"
BSCDEVSZ,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCDEVSZ', 'BOSTONSC')"
BSCDHF01,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCDHF01', 'BOSTONSC')"
BSCDSTSZ,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCDSTSZ', 'BOSTONSC')"
BSCEFWSZ,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCEFWSZ', 'BOSTONSC')"
BSCESESP,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCESESP', 'BOSTONSC')"
BSCESESZ,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCESESZ', 'BOSTONSC')"
BSCIOT,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCIOT', 'BOSTONSC')"
BSCLTSEZ,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCLTSEZ', 'BOSTONSC')"
BSCMASSZ,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCMASSZ', 'BOSTONSC')"
BSCNGPSP,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCNGPSP', 'BOSTONSC')"
BSCNGPSZ,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCNGPSZ', 'BOSTONSC')"
BSCNMBLR,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCNMBLR', 'BOSTONSC')"
BSCNMCHD,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCNMCHD', 'BOSTONSC')"
BSCPMSEZ,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCPMSEZ', 'BOSTONSC')"
BSCSMTSW,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCSMTSW', 'BOSTONSC')"
BSCSMTSZ,BOSTONSC,"insert into dbo.Projects([Code], [CustomerCode]) values('BSCSMTSZ', 'BOSTONSC')"
BTADTENG,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTADTENG', 'BT')"
BTBDAENG,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTBDAENG', 'BT')"
BTBTENGG,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTBTENGG', 'BT')"
BTBUFPSZ,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTBUFPSZ', 'BT')"
BTCANENV,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTCANENV', 'BT')"
BTCAPENZ,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTCAPENZ', 'BT')"
BTCPTENG,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTCPTENG', 'BT')"
BTCZSECI,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTCZSECI', 'BT')"
BTELMSZ2,TELNAS,"insert into dbo.Projects([Code], [CustomerCode]) values('BTELMSZ2', 'TELNAS')"
BTELPSZ1,TELNAS,"insert into dbo.Projects([Code], [CustomerCode]) values('BTELPSZ1', 'TELNAS')"
BTENGDMP,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTENGDMP', 'BT')"
BTGSPUZE,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTGSPUZE', 'BT')"
BTMITRDE,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTMITRDE', 'BT')"
BTNIBTEZ,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTNIBTEZ', 'BT')"
BTNPRFSZ,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTNPRFSZ', 'BT')"
BTNPRSTP,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTNPRSTP', 'BT')"
BTRADSZ2,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTRADSZ2', 'BT')"
BTVCHCPE,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTVCHCPE', 'BT')"
BTVSZ114,INFOSYS,"insert into dbo.Projects([Code], [CustomerCode]) values('BTVSZ114', 'INFOSYS')"
BTWCSSTP,TWCCABLE,"insert into dbo.Projects([Code], [CustomerCode]) values('BTWCSSTP', 'TWCCABLE')"
BTWMPTRG,BT,"insert into dbo.Projects([Code], [CustomerCode]) values('BTWMPTRG', 'BT')"
BUFCVSBR,CVSP,"insert into dbo.Projects([Code], [CustomerCode]) values('BUFCVSBR', 'CVSP')"
BUFCVSBT,CVSP,"insert into dbo.Projects([Code], [CustomerCode]) values('BUFCVSBT', 'CVSP')"
BUFVISAM,VISA,"insert into dbo.Projects([Code], [CustomerCode]) values('BUFVISAM', 'VISA')"
BUSVMSBU,SERVMAST,"insert into dbo.Projects([Code], [CustomerCode]) values('BUSVMSBU', 'SERVMAST')"
BVODSSTP,UK-MOB-1,"insert into dbo.Projects([Code], [CustomerCode]) values('BVODSSTP', 'UK-MOB-1')"
BWM26IVR,BANKAM,"insert into dbo.Projects([Code], [CustomerCode]) values('BWM26IVR', 'BANKAM')"
BWMS6IVR,BANKAM,"insert into dbo.Projects([Code], [CustomerCode]) values('BWMS6IVR', 'BANKAM')"
BWMZ6IVR,BANKAM,"insert into dbo.Projects([Code], [CustomerCode]) values('BWMZ6IVR', 'BANKAM')"
CADSESUP,CA,"insert into dbo.Projects([Code], [CustomerCode]) values('CADSESUP', 'CA')"
CALLPLMI,CALLAWAY,"insert into dbo.Projects([Code], [CustomerCode]) values('CALLPLMI', 'CALLAWAY')"
CAMEXQSZ,CA,"insert into dbo.Projects([Code], [CustomerCode]) values('CAMEXQSZ', 'CA')"
CASEZSPT,CA,"insert into dbo.Projects([Code], [CustomerCode]) values('CASEZSPT', 'CA')"
CASMAUTO,CA,"insert into dbo.Projects([Code], [CustomerCode]) values('CASMAUTO', 'CA')"
CATAIRF1,CAT,"insert into dbo.Projects([Code], [CustomerCode]) values('CATAIRF1', 'CAT')"
CATBEIN,CATCIPL,"insert into dbo.Projects([Code], [CustomerCode]) values('CATBEIN', 'CATCIPL')"
CATCELUS,CAT,"insert into dbo.Projects([Code], [CustomerCode]) values('CATCELUS', 'CAT')"
CATCTSCH,CAT,"insert into dbo.Projects([Code], [CustomerCode]) values('CATCTSCH', 'CAT')"
CATCTSMY,CAT,"insert into dbo.Projects([Code], [CustomerCode]) values('CATCTSMY', 'CAT')"
CATEDSTP,CATCIPL,"insert into dbo.Projects([Code], [CustomerCode]) values('CATEDSTP', 'CATCIPL')"
CATLPS1,CAT,"insert into dbo.Projects([Code], [CustomerCode]) values('CATLPS1', 'CAT')"
CATMPSTP,CATCIPL,"insert into dbo.Projects([Code], [CustomerCode]) values('CATMPSTP', 'CATCIPL')"
CATMPUSA,CAT,"insert into dbo.Projects([Code], [CustomerCode]) values('CATMPUSA', 'CAT')"
CATSTPIN,CATCIPL,"insert into dbo.Projects([Code], [CustomerCode]) values('CATSTPIN', 'CATCIPL')"
CAUIAUTO,CA,"insert into dbo.Projects([Code], [CustomerCode]) values('CAUIAUTO', 'CA')"
CAXPSDEV,CA,"insert into dbo.Projects([Code], [CustomerCode]) values('CAXPSDEV', 'CA')"
CCBBDPMS,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCBBDPMS', 'COMCAST')"
CCBBRDPS,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCBBRDPS', 'COMCAST')"
CCCIMAR1,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCCIMAR1', 'COMCAST')"
CCDPEDPE,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCDPEDPE', 'COMCAST')"
CCENACAP,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENACAP', 'COMCAST')"
CCENACR1,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENACR1', 'COMCAST')"
CCENACR2,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENACR2', 'COMCAST')"
CCENACR3,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENACR3', 'COMCAST')"
CCENACR4,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENACR4', 'COMCAST')"
CCENACR5,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENACR5', 'COMCAST')"
CCENACR6,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENACR6', 'COMCAST')"
CCENACR7,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENACR7', 'COMCAST')"
CCENACR8,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENACR8', 'COMCAST')"
CCENACR9,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENACR9', 'COMCAST')"
CCENACT1,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENACT1', 'COMCAST')"
CCENACT2,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENACT2', 'COMCAST')"
CCENACT3,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENACT3', 'COMCAST')"
CCENACWF,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENACWF', 'COMCAST')"
CCENALGD,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENALGD', 'COMCAST')"
CCENBC10,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENBC10', 'COMCAST')"
CCENBGC1,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENBGC1', 'COMCAST')"
CCENBGC2,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENBGC2', 'COMCAST')"
CCENBV10,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENBV10', 'COMCAST')"
CCENBV11,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENBV11', 'COMCAST')"
CCENBV12,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENBV12', 'COMCAST')"
CCENBVT1,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENBVT1', 'COMCAST')"
CCENBVT2,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENBVT2', 'COMCAST')"
CCENBVT3,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENBVT3', 'COMCAST')"
CCENBVT4,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENBVT4', 'COMCAST')"
CCENBVT5,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENBVT5', 'COMCAST')"
CCENBVT6,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENBVT6', 'COMCAST')"
CCENBVT7,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENBVT7', 'COMCAST')"
CCENBVT8,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENBVT8', 'COMCAST')"
CCENBVT9,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENBVT9', 'COMCAST')"
CCENCMIG,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENCMIG', 'COMCAST')"
CCENCNFD,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENCNFD', 'COMCAST')"
CCENICDS,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENICDS', 'COMCAST')"
CCENIDSO,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENIDSO', 'COMCAST')"
CCENIV6D,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENIV6D', 'COMCAST')"
CCENMGD1,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENMGD1', 'COMCAST')"
CCENRV10,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENRV10', 'COMCAST')"
CCENRV11,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENRV11', 'COMCAST')"
CCENRV13,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENRV13', 'COMCAST')"
CCENRV14,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENRV14', 'COMCAST')"
CCENRV15,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENRV15', 'COMCAST')"
CCENRV16,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENRV16', 'COMCAST')"
CCENRV17,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENRV17', 'COMCAST')"
CCENRVT1,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENRVT1', 'COMCAST')"
CCENRVT2,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENRVT2', 'COMCAST')"
CCENRVT3,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENRVT3', 'COMCAST')"
CCENRVT4,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENRVT4', 'COMCAST')"
CCENRVT5,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENRVT5', 'COMCAST')"
CCENRVT6,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENRVT6', 'COMCAST')"
CCENRVT7,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENRVT7', 'COMCAST')"
CCENRVT8,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENRVT8', 'COMCAST')"
CCENSBC1,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENSBC1', 'COMCAST')"
CCENSBC2,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENSBC2', 'COMCAST')"
CCENTADS,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENTADS', 'COMCAST')"
CCENTAPM,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENTAPM', 'COMCAST')"
CCENTWC4,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENTWC4', 'COMCAST')"
CCENTWCD,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENTWCD', 'COMCAST')"
CCENTWCS,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENTWCS', 'COMCAST')"
CCENV2GL,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENV2GL', 'COMCAST')"
CCENWFQ1,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENWFQ1', 'COMCAST')"
CCENWFQA,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENWFQA', 'COMCAST')"
CCENWRGD,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENWRGD', 'COMCAST')"
CCENWRTD,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENWRTD', 'COMCAST')"
CCENXRAD,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCENXRAD', 'COMCAST')"
CCLTAPMT,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCLTAPMT', 'COMCAST')"
CCMWIOTT,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCMWIOTT', 'COMCAST')"
CCPCTSTP,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCPCTSTP', 'COMCAST')"
CCPCTSZ2,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCPCTSZ2', 'COMCAST')"
CCPRSUEQ,COCACOLA,"insert into dbo.Projects([Code], [CustomerCode]) values('CCPRSUEQ', 'COCACOLA')"
CCPRSUFP,COCACOLA,"insert into dbo.Projects([Code], [CustomerCode]) values('CCPRSUFP', 'COCACOLA')"
CCPRWF1,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCPRWF1', 'COMCAST')"
CCRDKBTS,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCRDKBTS', 'COMCAST')"
CCTC8MS0,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCTC8MS0', 'COMCAST')"
CCTP9MS3,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCTP9MS3', 'COMCAST')"
CCTS3FP0,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCTS3FP0', 'COMCAST')"
CCVDQAST,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCVDQAST', 'COMCAST')"
CCVDQAZ1,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCVDQAZ1', 'COMCAST')"
CCVDQAZ2,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCVDQAZ2', 'COMCAST')"
CCXHOMES,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCXHOMES', 'COMCAST')"
CCXWIFIT,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CCXWIFIT', 'COMCAST')"
CFPFENP1,CF-BCBS,"insert into dbo.Projects([Code], [CustomerCode]) values('CFPFENP1', 'CF-BCBS')"
CGPPMENZ,CGC,"insert into dbo.Projects([Code], [CustomerCode]) values('CGPPMENZ', 'CGC')"
CHENBUFZ,CHC,"insert into dbo.Projects([Code], [CustomerCode]) values('CHENBUFZ', 'CHC')"
CHENCISP,CHC,"insert into dbo.Projects([Code], [CustomerCode]) values('CHENCISP', 'CHC')"
CHENCISZ,CHC,"insert into dbo.Projects([Code], [CustomerCode]) values('CHENCISZ', 'CHC')"
CHTRIENG,CHC,"insert into dbo.Projects([Code], [CustomerCode]) values('CHTRIENG', 'CHC')"
CHURMBD,CHURYO,"insert into dbo.Projects([Code], [CustomerCode]) values('CHURMBD', 'CHURYO')"
CHURONS,CHURYO,"insert into dbo.Projects([Code], [CustomerCode]) values('CHURONS', 'CHURYO')"
CHURTC,CHURYO,"insert into dbo.Projects([Code], [CustomerCode]) values('CHURTC', 'CHURYO')"
CIBCST53,CISCO,"insert into dbo.Projects([Code], [CustomerCode]) values('CIBCST53', 'CISCO')"
CIBSWEG1,CISCO,"insert into dbo.Projects([Code], [CustomerCode]) values('CIBSWEG1', 'CISCO')"
CIHEDV10,CISCOIN,"insert into dbo.Projects([Code], [CustomerCode]) values('CIHEDV10', 'CISCOIN')"
CIHEDVT5,CISCOIN,"insert into dbo.Projects([Code], [CustomerCode]) values('CIHEDVT5', 'CISCOIN')"
CIHEDVT6,CISCOIN,"insert into dbo.Projects([Code], [CustomerCode]) values('CIHEDVT6', 'CISCOIN')"
CIHEDVT7,CISCOIN,"insert into dbo.Projects([Code], [CustomerCode]) values('CIHEDVT7', 'CISCOIN')"
CIHEDVT8,CISCOIN,"insert into dbo.Projects([Code], [CustomerCode]) values('CIHEDVT8', 'CISCOIN')"
CIHEDVT9,CISCOIN,"insert into dbo.Projects([Code], [CustomerCode]) values('CIHEDVT9', 'CISCOIN')"
CIHUSB07,CISCO,"insert into dbo.Projects([Code], [CustomerCode]) values('CIHUSB07', 'CISCO')"
CIMSWBAN,CISCO,"insert into dbo.Projects([Code], [CustomerCode]) values('CIMSWBAN', 'CISCO')"
CIPACRTB,CISCO,"insert into dbo.Projects([Code], [CustomerCode]) values('CIPACRTB', 'CISCO')"
CIPACSME,CISCO,"insert into dbo.Projects([Code], [CustomerCode]) values('CIPACSME', 'CISCO')"
CISCATBS,CISCO,"insert into dbo.Projects([Code], [CustomerCode]) values('CISCATBS', 'CISCO')"
CISCEOPT,CISCO,"insert into dbo.Projects([Code], [CustomerCode]) values('CISCEOPT', 'CISCO')"
CISCOPSC,CISCO,"insert into dbo.Projects([Code], [CustomerCode]) values('CISCOPSC', 'CISCO')"
CISCOST2,CISCO,"insert into dbo.Projects([Code], [CustomerCode]) values('CISCOST2', 'CISCO')"
CISCOVE2,CISCO,"insert into dbo.Projects([Code], [CustomerCode]) values('CISCOVE2', 'CISCO')"
CISCPACT,CISCO,"insert into dbo.Projects([Code], [CustomerCode]) values('CISCPACT', 'CISCO')"
CISDFT11,CISCO,"insert into dbo.Projects([Code], [CustomerCode]) values('CISDFT11', 'CISCO')"
CISSWPDM,CISCO,"insert into dbo.Projects([Code], [CustomerCode]) values('CISSWPDM', 'CISCO')"
CISWPDM2,CISCO,"insert into dbo.Projects([Code], [CustomerCode]) values('CISWPDM2', 'CISCO')"
CLIQMFED,CLIQUE,"insert into dbo.Projects([Code], [CustomerCode]) values('CLIQMFED', 'CLIQUE')"
CMCISDV2,CUMMINS,"insert into dbo.Projects([Code], [CustomerCode]) values('CMCISDV2', 'CUMMINS')"
CMCISUP2,CUMMINS,"insert into dbo.Projects([Code], [CustomerCode]) values('CMCISUP2', 'CUMMINS')"
CMMDASZH,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMMDASZH', 'COMCAST')"
CMMDATRG,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMMDATRG', 'COMCAST')"
CMRCIM01,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRCIM01', 'COMCAST')"
CMRCIM02,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRCIM02', 'COMCAST')"
CMRCIM03,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRCIM03', 'COMCAST')"
CMRCIM04,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRCIM04', 'COMCAST')"
CMRCIM05,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRCIM05', 'COMCAST')"
CMRDKB01,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRDKB01', 'COMCAST')"
CMRDKB02,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRDKB02', 'COMCAST')"
CMRDKB03,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRDKB03', 'COMCAST')"
CMRDKB04,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRDKB04', 'COMCAST')"
CMRDKB05,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRDKB05', 'COMCAST')"
CMRDKB06,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRDKB06', 'COMCAST')"
CMRDKB07,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRDKB07', 'COMCAST')"
CMRDKB08,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRDKB08', 'COMCAST')"
CMRDTR01,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRDTR01', 'COMCAST')"
CMRXPL01,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRXPL01', 'COMCAST')"
CMRXPL02,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRXPL02', 'COMCAST')"
CMRXPL03,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRXPL03', 'COMCAST')"
CMRXPL04,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRXPL04', 'COMCAST')"
CMRXPL05,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRXPL05', 'COMCAST')"
CMRXPL06,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRXPL06', 'COMCAST')"
CMRXPL08,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRXPL08', 'COMCAST')"
CMRXPL09,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRXPL09', 'COMCAST')"
CMRXPL10,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRXPL10', 'COMCAST')"
CMRXPL11,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRXPL11', 'COMCAST')"
CMRXPL12,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRXPL12', 'COMCAST')"
CMRXPL13,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMRXPL13', 'COMCAST')"
CMTRRD01,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMTRRD01', 'COMCAST')"
CMWRTC01,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMWRTC01', 'COMCAST')"
CMWRTC02,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMWRTC02', 'COMCAST')"
CMWRTC03,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMWRTC03', 'COMCAST')"
CMWRTC04,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMWRTC04', 'COMCAST')"
CMWRTC05,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMWRTC05', 'COMCAST')"
CMWRTC06,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMWRTC06', 'COMCAST')"
CMWRTC07,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMWRTC07', 'COMCAST')"
CMWRTC08,COMCAST,"insert into dbo.Projects([Code], [CustomerCode]) values('CMWRTC08', 'COMCAST')"
