Code,CustomerCode,
AIMENGM1,LMI,"insert into dbo.Projects([Code], [CustomerCode]) values('AIMENGM1', 'LMI')"
AIMENGM2,LMI,"insert into dbo.Projects([Code], [CustomerCode]) values('AIMENGM2', 'LMI')"
AIMENGST,LMI,"insert into dbo.Projects([Code], [CustomerCode]) values('AIMENGST', 'LMI')"
AIMENGT2,LMI,"insert into dbo.Projects([Code], [CustomerCode]) values('AIMENGT2', 'LMI')"
AIMENGTZ,LMI,"insert into dbo.Projects([Code], [CustomerCode]) values('AIMENGTZ', 'LMI')"
AIMMCCHZ,LMI,"insert into dbo.Projects([Code], [CustomerCode]) values('AIMMCCHZ', 'LMI')"
AIMSSMC1,LMI,"insert into dbo.Projects([Code], [CustomerCode]) values('AIMSSMC1', 'LMI')"
AIPMAINT,90876523,"insert into dbo.Projects([Code], [CustomerCode]) values('AIPMAINT', '90876523')"
AL15GRID,ALSTMFRA,"insert into dbo.Projects([Code], [CustomerCode]) values('AL15GRID', 'ALSTMFRA')"
AL15HMIT,ALSTMFRA,"insert into dbo.Projects([Code], [CustomerCode]) values('AL15HMIT', 'ALSTMFRA')"
ALAERITZ,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALAERITZ', 'ALTMSW')"
ALGMESSP,ALSITSSC,"insert into dbo.Projects([Code], [CustomerCode]) values('ALGMESSP', 'ALSITSSC')"
ALGSTIN1,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALGSTIN1', 'ALTMSW')"
ALGSTINS,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALGSTINS', 'ALTMSW')"
ALITSPDZ,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALITSPDZ', 'ALTMSW')"
ALP2AEG,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALP2AEG', 'ALTMSW')"
ALP2I242,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALP2I242', 'ALTMSW')"
ALP3DEPT,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALP3DEPT', 'ALTMSW')"
ALP3DMOH,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALP3DMOH', 'ALTMSW')"
ALPDMS11,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALPDMS11', 'ALTMSW')"
ALPECHUI,ALSITSSC,"insert into dbo.Projects([Code], [CustomerCode]) values('ALPECHUI', 'ALSITSSC')"
ALPLMBU1,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALPLMBU1', 'ALTMSW')"
ALRPDM5B,ALSITSSC,"insert into dbo.Projects([Code], [CustomerCode]) values('ALRPDM5B', 'ALSITSSC')"
ALSAERIT,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSAERIT', 'ALTMSW')"
ALSCVPDM,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSCVPDM', 'ALTMSW')"
ALSEMBED,ALSTMFRA,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSEMBED', 'ALSTMFRA')"
ALSENGSM,ALSITSSC,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSENGSM', 'ALSITSSC')"
ALSGRIDB,ALSITSSC,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSGRIDB', 'ALSITSSC')"
ALSGRIDP,ALSITSSC,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSGRIDP', 'ALSITSSC')"
ALSGSTRB,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSGSTRB', 'ALTMSW')"
ALSGSTRK,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSGSTRK', 'ALTMSW')"
ALSGSTRS,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSGSTRS', 'ALTMSW')"
ALSGSTRZ,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSGSTRZ', 'ALTMSW')"
ALSGSTSZ,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSGSTSZ', 'ALTMSW')"
ALSGTPLM,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSGTPLM', 'ALTMSW')"
ALSGUISP,ALSTMFRA,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSGUISP', 'ALSTMFRA')"
ALSMPBUF,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSMPBUF', 'ALTMSW')"
ALSMSOLR,ALSPUS,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSMSOLR', 'ALSPUS')"
ALSMZ2BU,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSMZ2BU', 'ALTMSW')"
ALSNKBE,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSNKBE', 'ALTMSW')"
ALSOPENT,ALSTMFRA,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSOPENT', 'ALSTMFRA')"
ALSOPENZ,ALSTMFRA,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSOPENZ', 'ALSTMFRA')"
ALSPEC1F,ALSITSSC,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSPEC1F', 'ALSITSSC')"
ALSPEC1Z,ALSITSSC,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSPEC1Z', 'ALSITSSC')"
ALSPEC70,ALSITSSC,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSPEC70', 'ALSITSSC')"
ALSPEGR2,ALSITSSC,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSPEGR2', 'ALSITSSC')"
ALSPLM3D,ALSITSSC,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSPLM3D', 'ALSITSSC')"
ALSPREC6,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSPREC6', 'ALTMSW')"
ALSPSM1,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSPSM1', 'ALTMSW')"
ALSPWRS2,ALSITSSC,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSPWRS2', 'ALSITSSC')"
ALSPZBU1,ALSTMFRA,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSPZBU1', 'ALSTMFRA')"
ALSREC4S,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSREC4S', 'ALTMSW')"
ALSREC6N,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSREC6N', 'ALTMSW')"
ALSRPDM5,ALSITSSC,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSRPDM5', 'ALSITSSC')"
ALSRUGGT,ALSTOM,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSRUGGT', 'ALSTOM')"
ALSTIOH2,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSTIOH2', 'ALTMSW')"
ALSTPGNC,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSTPGNC', 'ALTMSW')"
ALSTTSPM,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSTTSPM', 'ALTMSW')"
ALSTTTRD,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSTTTRD', 'ALTMSW')"
ALSTVPSC,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSTVPSC', 'ALTMSW')"
ALSTWCON,ALSTWIND,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSTWCON', 'ALSTWIND')"
ALSTWSCA,ALSTWIND,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSTWSCA', 'ALSTWIND')"
ALSWIND,ALSTWIND,"insert into dbo.Projects([Code], [CustomerCode]) values('ALSWIND', 'ALSTWIND')"
ALTHSERV,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALTHSERV', 'ALTMSW')"
ALTPGNRT,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALTPGNRT', 'ALTMSW')"
ALTSNAEZ,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALTSNAEZ', 'ALTMSW')"
ALTSNDBZ,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALTSNDBZ', 'ALTMSW')"
ALTSNDEZ,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALTSNDEZ', 'ALTMSW')"
ALTSNGEZ,ALSTMDE,"insert into dbo.Projects([Code], [CustomerCode]) values('ALTSNGEZ', 'ALSTMDE')"
ALTSNMIZ,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALTSNMIZ', 'ALTMSW')"
ALTSNVLZ,ALTMSW,"insert into dbo.Projects([Code], [CustomerCode]) values('ALTSNVLZ', 'ALTMSW')"
ALUKSDTI,ALSTOM,"insert into dbo.Projects([Code], [CustomerCode]) values('ALUKSDTI', 'ALSTOM')"
ALWINPMG,ALSTWIND,"insert into dbo.Projects([Code], [CustomerCode]) values('ALWINPMG', 'ALSTWIND')"
AMCHSZBF,AMX_PHX1,"insert into dbo.Projects([Code], [CustomerCode]) values('AMCHSZBF', 'AMX_PHX1')"
AMDAGPLM,AMD,"insert into dbo.Projects([Code], [CustomerCode]) values('AMDAGPLM', 'AMD')"
AME33928,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('AME33928', 'APPLE')"
AML34550,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('AML34550', 'APPLE')"
AMUVD14P,AMD,"insert into dbo.Projects([Code], [CustomerCode]) values('AMUVD14P', 'AMD')"
AMUVD14Z,AMD,"insert into dbo.Projects([Code], [CustomerCode]) values('AMUVD14Z', 'AMD')"
AMXPENGP,AMX_PHX4,"insert into dbo.Projects([Code], [CustomerCode]) values('AMXPENGP', 'AMX_PHX4')"
AMXPENGZ,AMX_PHX4,"insert into dbo.Projects([Code], [CustomerCode]) values('AMXPENGZ', 'AMX_PHX4')"
AMXS5EA2,AMEX-SLC,"insert into dbo.Projects([Code], [CustomerCode]) values('AMXS5EA2', 'AMEX-SLC')"
AMXS5EH2,AMX_PHX4,"insert into dbo.Projects([Code], [CustomerCode]) values('AMXS5EH2', 'AMX_PHX4')"
AMXS5ELT,AMX_PHX4,"insert into dbo.Projects([Code], [CustomerCode]) values('AMXS5ELT', 'AMX_PHX4')"
AMXS5ES2,AMX_PHX4,"insert into dbo.Projects([Code], [CustomerCode]) values('AMXS5ES2', 'AMX_PHX4')"
AMXS5EU2,AMX_PHX4,"insert into dbo.Projects([Code], [CustomerCode]) values('AMXS5EU2', 'AMX_PHX4')"
AMXS5EUT,AMX_PHX4,"insert into dbo.Projects([Code], [CustomerCode]) values('AMXS5EUT', 'AMX_PHX4')"
AMXS5GS2,AMX_PHX4,"insert into dbo.Projects([Code], [CustomerCode]) values('AMXS5GS2', 'AMX_PHX4')"
AOSQABS1,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('AOSQABS1', 'APPLE')"
APBBBPAO,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APBBBPAO', 'APPLE')"
APBRENPX,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APBRENPX', 'APPLE')"
APCB0746,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APCB0746', 'APPLE')"
APE41644,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APE41644', 'APPLE')"
APEB4582,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APEB4582', 'APPLE')"
APHBE656,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APHBE656', 'APPLE')"
APICCHD1,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APICCHD1', 'APPLE')"
APICTEC1,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APICTEC1', 'APPLE')"
APIDMS94,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APIDMS94', 'APPLE')"
APIMUP02,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APIMUP02', 'APPLE')"
APINDPHX,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APINDPHX', 'APPLE')"
APINENPX,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APINENPX', 'APPLE')"
APL3383E,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APL3383E', 'APPLE')"
APL3470E,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APL3470E', 'APPLE')"
APL41335,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APL41335', 'APPLE')"
APL41387,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APL41387', 'APPLE')"
APL41533,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APL41533', 'APPLE')"
APL998ST,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APL998ST', 'APPLE')"
APL998TZ,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APL998TZ', 'APPLE')"
APL999ST,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APL999ST', 'APPLE')"
APL999TZ,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APL999TZ', 'APPLE')"
APLAOSA1,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLAOSA1', 'APPLE')"
APLAOSA2,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLAOSA2', 'APPLE')"
APLAOSA3,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLAOSA3', 'APPLE')"
APLAOSA4,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLAOSA4', 'APPLE')"
APLAOSA6,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLAOSA6', 'APPLE')"
APLAOSA7,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLAOSA7', 'APPLE')"
APLAOSA8,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLAOSA8', 'APPLE')"
APLASAH3,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLASAH3', 'APPLE')"
APLB1930,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLB1930', 'APPLE')"
APLB4169,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLB4169', 'APPLE')"
APLB4295,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLB4295', 'APPLE')"
APLB5140,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLB5140', 'APPLE')"
APLB5410,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLB5410', 'APPLE')"
APLBAMPD,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLBAMPD', 'APPLE')"
APLBAMRM,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLBAMRM', 'APPLE')"
APLBAMSA,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLBAMSA', 'APPLE')"
APLBAMVC,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLBAMVC', 'APPLE')"
APLBBBUF,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLBBBUF', 'APPLE')"
APLBISEE,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLBISEE', 'APPLE')"
APLBMSQ2,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLBMSQ2', 'APPLE')"
APLBPLI2,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLBPLI2', 'APPLE')"
APLBPPL2,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLBPPL2', 'APPLE')"
APLBPPR7,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLBPPR7', 'APPLE')"
APLBPTUR,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLBPTUR', 'APPLE')"
APLBSKYN,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLBSKYN', 'APPLE')"
APLC10HZ,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLC10HZ', 'APPLE')"
APLC10TV,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLC10TV', 'APPLE')"
APLC12HZ,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLC12HZ', 'APPLE')"
APLC12ST,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLC12ST', 'APPLE')"
APLC2ST2,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLC2ST2', 'APPLE')"
APLCLEF5,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLCLEF5', 'APPLE')"
APLCORMT,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLCORMT', 'APPLE')"
APLCOST3,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLCOST3', 'APPLE')"
APLCPCO8,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLCPCO8', 'APPLE')"
APLCPJA3,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLCPJA3', 'APPLE')"
APLCR6HZ,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLCR6HZ', 'APPLE')"
APLCSQA1,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLCSQA1', 'APPLE')"
APLCZIDM,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLCZIDM', 'APPLE')"
APLDCDEV,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLDCDEV', 'APPLE')"
APLDCHY1,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLDCHY1', 'APPLE')"
APLDCHY2,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLDCHY2', 'APPLE')"
APLDNEN2,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLDNEN2', 'APPLE')"
APLDQA1,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLDQA1', 'APPLE')"
APLENGST,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLENGST', 'APPLE')"
APLFPHWK,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLFPHWK', 'APPLE')"
APLFTTVM,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLFTTVM', 'APPLE')"
APLHBUF2,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLHBUF2', 'APPLE')"
APLHISEE,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLHISEE', 'APPLE')"
APLHPPER,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLHPPER', 'APPLE')"
APLHSIWK,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLHSIWK', 'APPLE')"
APLHZBUF,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLHZBUF', 'APPLE')"
APLIOSQA,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLIOSQA', 'APPLE')"
APLIPETZ,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLIPETZ', 'APPLE')"
APLIRCD2,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLIRCD2', 'APPLE')"
APLIRHZ3,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLIRHZ3', 'APPLE')"
APLIRST3,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLIRST3', 'APPLE')"
APLIRTZ3,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLIRTZ3', 'APPLE')"
APLITCHZ,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLITCHZ', 'APPLE')"
APLITTZ,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLITTZ', 'APPLE')"
APLIWPCS,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLIWPCS', 'APPLE')"
APLIWPST,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLIWPST', 'APPLE')"
APLJMHR1,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLJMHR1', 'APPLE')"
APLJMRK1,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLJMRK1', 'APPLE')"
APLJMSN1,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLJMSN1', 'APPLE')"
APLJMZZ1,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLJMZZ1', 'APPLE')"
APLJMZZ2,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLJMZZ2', 'APPLE')"
APLJVHZ3,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLJVHZ3', 'APPLE')"
APLJVTZ2,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLJVTZ2', 'APPLE')"
APLMPTUR,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLMPTUR', 'APPLE')"
APLMSBTZ,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLMSBTZ', 'APPLE')"
APLMZBUF,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLMZBUF', 'APPLE')"
APLNSCHD,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLNSCHD', 'APPLE')"
APLNSTVM,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLNSTVM', 'APPLE')"
APLODHZ3,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLODHZ3', 'APPLE')"
APLODST1,APPLE,"insert into dbo.Projects([Code], [CustomerCode]) values('APLODST1', 'APPLE')"
