MX_Monterrey,Monterrey,"insert into dbo.Locations([Code], [Title]) values('MX_Monterrey', 'Monterrey')"
MYSORE1STP,Mysore,"insert into dbo.Locations([Code], [Title]) values('MYSORE1STP', 'Mysore')"
MYSORE2STP,Mysore,"insert into dbo.Locations([Code], [Title]) values('MYSORE2STP', 'Mysore')"
MYSSEZ_UNIT1,Mysore,"insert into dbo.Locations([Code], [Title]) values('MYSSEZ_UNIT1', 'Mysore')"
MYSSEZ_Unit2,Mysore,"insert into dbo.Locations([Code], [Title]) values('MYSSEZ_Unit2', 'Mysore')"
NEWARK,Newark(CA),"insert into dbo.Locations([Code], [Title]) values('NEWARK', 'Newark(CA)')"
NEWJERSY,Bridgewater,"insert into dbo.Locations([Code], [Title]) values('NEWJERSY', 'Bridgewater')"
NEWYORK,NEW YORK,"insert into dbo.Locations([Code], [Title]) values('NEWYORK', 'NEW YORK')"
PHOENIX,Phoenix,"insert into dbo.Locations([Code], [Title]) values('PHOENIX', 'Phoenix')"
PLANO,Plano, TX
PUNE_SDB5,PUNE,
PUNESTP,PUNE,
PUNSEZUNIT2,Pune,
SALARPURIA,BANGALORE,
SHOLING1STP,CHENNAI,
SOUTHFIELD,Southfield,
STUTTGART,STUTTGART,
SYDNEY,NORTH SYDNEY,
Toulouse,Toulouse,
TRIVANDRUM,TRIVANDRUM,
TRVSZUNIT1,TRIVANDRUM,
TRVSZUNIT2,TRIVANDRUM,
TWRS-BBU,BANGALORE,
ZURICH,ZURICH,
