Course Code,Course Title,Track Name,Department Code,Status,Insert Query
DB170,SQL Enhancements in DB2 V8 for Z/OS,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB170', 'SQL Enhancements in DB2 V8 for Z/OS')"
DB171,SQL Tuning (Oracle 10g),Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB171', 'SQL Tuning (Oracle 10g)')"
DB172,Basic Database Security,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB172', 'Basic Database Security')"
DB173,Secure Application Development in PL/SQL,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB173', 'Secure Application Development in PL/SQL')"
DB174,Oracle Architecture,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB174', 'Oracle Architecture')"
DB175,DB Tuning,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB175', 'DB Tuning')"
DB177,Introduction to Data Structures,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB177', 'Introduction to Data Structures')"
DB183,Oracle 11g New Features,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB183', 'Oracle 11g New Features')"
DB184,Overview of IDMS,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB184', 'Overview of IDMS')"
DB189,PL/SQL Tuning Best Practices,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB189', 'PL/SQL Tuning Best Practices')"
DB197,Reporting using BO_DB197,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB197', 'Reporting using BO_DB197')"
DB210,Microstrategy_DB210,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB210', 'Microstrategy_DB210')"
DB211,Datamining Using Weka_DB211,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB211', 'Datamining Using Weka_DB211')"
DB213,Reporting using BIRT_DB213,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB213', 'Reporting using BIRT_DB213')"
DB221,Cloud - Big Data,Cloud,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB221', 'Cloud - Big Data')"
DB226,Introduction to DB2 Catalogs,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB226', 'Introduction to DB2 Catalogs')"
DB230,Data Mining_DB230,Architecture,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB230', 'Data Mining_DB230')"
DB232,Data analysis and metric management,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB232', 'Data analysis and metric management')"
DB233,Multi-dimensional Data Modeling concepts,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB233', 'Multi-dimensional Data Modeling concepts')"
DB234,Pentaho Data Integration_DB234,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB234', 'Pentaho Data Integration_DB234')"
DB235,Introduction to PosgreSQL,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB235', 'Introduction to PosgreSQL')"
DB240,IBM Data Studio v 3.1 Features,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB240', 'IBM Data Studio v 3.1 Features')"
DB243,Introduction to DB2 LUW,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB243', 'Introduction to DB2 LUW')"
DB244,Oracle Grid Architecture 11g,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB244', 'Oracle Grid Architecture 11g')"
DB245,Oracle Reports 11g,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB245', 'Oracle Reports 11g')"
DB246,Oracle Forms 11g,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB246', 'Oracle Forms 11g')"
DB247,Emerging trends in BI,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB247', 'Emerging trends in BI')"
DB249,Introduction to Splunk,IMS Academy,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB249', 'Introduction to Splunk')"
DB251,Intro to Splunk Usage,Mobility,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB251', 'Intro to Splunk Usage')"
DB253,Database Design & Implementation - MySQL,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB253', 'Database Design & Implementation - MySQL')"
DB256,Catalog Statistics for DB2 Performance,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB256', 'Catalog Statistics for DB2 Performance')"
DB259,Introduction to PLpgSql,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB259', 'Introduction to PLpgSql')"
DB267,Master in Oracle Programming with PL_SQL,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB267', 'Master in Oracle Programming with PL_SQL')"
DB268,Advance PL_SQL Programming Package,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB268', 'Advance PL_SQL Programming Package')"
DB269,Oracle pl/sql performance tuning,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB269', 'Oracle pl/sql performance tuning')"
DB270,App development using Oracle forms,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB270', 'App development using Oracle forms')"
DB272,Oracle 12c New Features,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB272', 'Oracle 12c New Features')"
DB273,BMC Catalog Manager,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB273', 'BMC Catalog Manager')"
DB274,Intro to MariaDB,Open Systems,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB274', 'Intro to MariaDB')"
DB33,SQL server tuning,Microsoft,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB33', 'SQL server tuning')"
DB48,Overview of DB2,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB48', 'Overview of DB2')"
DB71,Additional DB2/400 concepts,AS/400,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB71', 'Additional DB2/400 concepts')"
DB74,DB2- Application Tuning Techniques,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB74', 'DB2- Application Tuning Techniques')"
DB75,Embedded SQL,AS/400,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB75', 'Embedded SQL')"
DB76,iSeries Windows Integration,AS/400,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB76', 'iSeries Windows Integration')"
DB77,DB2 UDB Fundamentals,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB77', 'DB2 UDB Fundamentals')"
DB78,DB2 Tuning,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB78', 'DB2 Tuning')"
DB80,SQL Server 2005 Tuning,Microsoft,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB80', 'SQL Server 2005 Tuning')"
DB85,Overview of IMS DB on Mainframes_DB85,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB85', 'Overview of IMS DB on Mainframes_DB85')"
DB88BI,Intro. To BI Framework_DB88BI,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB88BI', 'Intro. To BI Framework_DB88BI')"
DB89BI,Multi-dimensional Data Modeling_DB89BI,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB89BI', 'Multi-dimensional Data Modeling_DB89BI')"
DB96,DB2 High Performance and Tuning,Mainframe,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB96', 'DB2 High Performance and Tuning')"
DB97,OBIEE 11g_DB97,Business Intelligence,ETA,Active,"insert into dbo.Courses([Code], [Title]) values('DB97', 'OBIEE 11g_DB97')"
DENGASLSDPTR,ENG Lecture Series On Aircraft Structure,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DENGASLSDPTR','ENG Lecture Series On Aircraft Structure')"
DENGCATAIRIT,ENG CATIA V5 & Airbus Standards- Project,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DENGCATAIRIT','ENG CATIA V5 & Airbus Standards- Project')"
DENGCOMPITR1,ENG Composite Materials,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DENGCOMPITR1','ENG Composite Materials')"
DENGENOVITR1,ENG Enovia-MatrixOne PLM Application Sup,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DENGENOVITR1','ENG Enovia-MatrixOne PLM Application Sup')"
DENGFEMITR2,"ENG Intro to Aircraft systems, FEM,ISAMI",ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DENGFEMITR2','ENG Intro to Aircraft systems, FEM,ISAMI')"
DENGJCISEATI,ENG JCI-SEAT Project Specific Training,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DENGJCISEATI','ENG JCI-SEAT Project Specific Training')"
DENGPLMINT1,ENG PLM Internship 2013-Intro to PLM,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DENGPLMINT1','ENG PLM Internship 2013-Intro to PLM')"
DENGPLMITR1,ENG Bus Domain & PLM (Smarteam ),ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DENGPLMITR1','ENG Bus Domain & PLM (Smarteam )')"
DENGPR&DITR1,ENG PLM Application Support at PepsiCo,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DENGPR&DITR1','ENG PLM Application Support at PepsiCo')"
DENGPRJTTR1,ENG Project specific Induction Trng-LP,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DENGPRJTTR1','ENG Project specific Induction Trng-LP')"
DIASBFEMITR3,ENG Introduction to Aircraft systems_DIASBFEMITR3,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DIASBFEMITR3','ENG Introduction to Aircraft systems_DIASBFEMITR3')"
DJL7PLE0007,PLES-Structural Dynamics-An Introduction,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DJL7PLE0007','PLES-Structural Dynamics-An Introduction')"
DJL7PLE0008,PLES-Structural Dynamics-An Introduction_DJL7PLE0008,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DJL7PLE0008','PLES-Structural Dynamics-An Introduction_DJL7PLE0008')"
DJL7PLE0009,PLES-Structural Dynamics-An Introduction_DJL7PLE0009,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DJL7PLE0009','PLES-Structural Dynamics-An Introduction_DJL7PLE0009')"
DJL7PLE0010,PLES-Structural Dynamics-An Introduction_DJL7PLE0010,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DJL7PLE0010','PLES-Structural Dynamics-An Introduction_DJL7PLE0010')"
DJL7PLE0017,Basics of Automotive Interior Systems,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DJL7PLE0017','Basics of Automotive Interior Systems')"
DJL7PLE0019,Design of Automotive Interior Systems,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DJL7PLE0019','Design of Automotive Interior Systems')"
DJL7PLE0020,Basics of interior mfg Process & Tooling,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DJL7PLE0020','Basics of interior mfg Process & Tooling')"
DJL7PLE0021,Protoyping Techniques,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DJL7PLE0021','Protoyping Techniques')"
DJL7PLE0022,Interior Polymers,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DJL7PLE0022','Interior Polymers')"
DPEDWLOW01,Wireless Overview_DPEDWLOW01,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPEDWLOW01','Wireless Overview_DPEDWLOW01')"
DPESPRTITR1,PLES-CATIA V5 & Airbus Standards-Project,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPESPRTITR1','PLES-CATIA V5 & Airbus Standards-Project')"
DPLEA380ETR2,PLES-PD3-PDMLINK System-A380@Onsite,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEA380ETR2','PLES-PD3-PDMLINK System-A380@Onsite')"
DPLEADSCITR1,PLES-PD3-Aero Design & Stress Concession,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEADSCITR1','PLES-PD3-Aero Design & Stress Concession')"
DPLEAIDEITR1,PLES-Aircraft Interior Dgn_eLearning@Blr,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEAIDEITR1','PLES-Aircraft Interior Dgn_eLearning@Blr')"
DPLEAIRTETR1,PLES-Aircraft testing-Pune,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEAIRTETR1','PLES-Aircraft testing-Pune')"
DPLEBDENITR1,PLES-PD4-Basic of diesel engines@Pune,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEBDENITR1','PLES-PD4-Basic of diesel engines@Pune')"
DPLECFDITR1,PLES- CFD Training @ Mys,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLECFDITR1','PLES- CFD Training @ Mys')"
DPLEDAAWITR1,PLES-PD1-Design & analysis of aero Wing,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEDAAWITR1','PLES-PD1-Design & analysis of aero Wing')"
DPLEDOMAINIT,PLES-PD Domain Training,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEDOMAINIT','PLES-PD Domain Training')"
DPLEDPDSETR2,PLES-PD3-DPDS Enquiry@Onsite,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEDPDSETR2','PLES-PD3-DPDS Enquiry@Onsite')"
DPLEEMAGITR1,PLES-eMatrix & GAP Application Trg@Pune,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEEMAGITR1','PLES-eMatrix & GAP Application Trg@Pune')"
DPLEIAEITR1,PLES-APD2-Intro to Auto Interiors&Ex@Mys,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEIAEITR1','PLES-APD2-Intro to Auto Interiors&Ex@Mys')"
DPLEMICBITR1,PLES-APD4-Mechanical Intergration@Mys,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEMICBITR1','PLES-APD4-Mechanical Intergration@Mys')"
DPLENBAPITR1,PLES-Normalize & Baseline Reman Pro@Blr_DPLENBAPITR1,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLENBAPITR1','PLES-Normalize & Baseline Reman Pro@Blr_DPLENBAPITR1')"
DPLENBRPITR1,PLES-Normalize & Baseline Reman Pro@Blr,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLENBRPITR1','PLES-Normalize & Baseline Reman Pro@Blr')"
DPLEPD1TJOTR,PLESPD1Orientation on Vought Account@MYS,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEPD1TJOTR','PLESPD1Orientation on Vought Account@MYS')"
DPLEPDMLETR2,PLES-PDMLINK SSCI DEF.PH.?READER@Onsite,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEPDMLETR2','PLES-PDMLINK SSCI DEF.PH.?READER@Onsite')"
DPLEPDMOJTR2,PLES-PLM PDMOne project related KT2@Mys,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEPDMOJTR2','PLES-PLM PDMOne project related KT2@Mys')"
DPLEPDMOJTR3,PLES-PLM PDMOne project related KT2@Mys_DPLEPDMOJTR3,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEPDMOJTR3','PLES-PLM PDMOne project related KT2@Mys_DPLEPDMOJTR3')"
DPLEPRJCTITR,PLES-PD Project Related Training @ Mys,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEPRJCTITR','PLES-PD Project Related Training @ Mys')"
DPLEPRJCTTR,PLES-PD Static Analysis of A380 Training,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEPRJCTTR','PLES-PD Static Analysis of A380 Training')"
DPLEPRJTRTr1,PLES-PD Project Related Training @ Mys_DPLEPRJTRTr1,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEPRJTRTr1','PLES-PD Project Related Training @ Mys_DPLEPRJTRTr1')"
DPLEPRJTRTR2,PLES-PD Project Related Training @ Mys_DPLEPRJTRTR2,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEPRJTRTR2','PLES-PD Project Related Training @ Mys_DPLEPRJTRTR2')"
DPLEPRJTRTR3,PLES-PD Project Related Training @ Mys_DPLEPRJTRTR3,ENG Academy,ETA,Active,"insert into dbo.Courses([Code],[Title]) values('DPLEPRJTRTR3','PLES-PD Project Related Training @ Mys_DPLEPRJTRTR3')"
